"建築基準法の全体像
・総○○、手○○関連
・集○○規定
・単○○規定","建築基準法の全体像
・総則、手続き関連
・集団規定
・単体規定"
"構造設計一級建築士の関与の対象となる建築物：
①一級建築士の業務独占の対象となる建築物のうち、法20条1項一号（高さ60m超）、二号（階数4以上、高さ16m超等）の建築物","構造設計一級建築士の関与の対象となる建築物：
①一級建築士の業務独占の対象となる建築物のうち、法20条1項一号（高さ60m超）、二号（階数4以上、高さ16m超等）の建築物"
"構造設計一級建築士の関与と構造安全証明書：建築士法20条2項、20条の2第1項、2項
①構造設計一級建築士の関与が義務付けられている建築物では、構造安全証明書の交付が不要。
②構造設計一級建築士の関与が義務付けられていない建築物では、構造安全証明書の交付が必要。","構造設計一級建築士の関与と構造安全証明書：建築士法20条2項、20条の2第1項、2項
①構造設計一級建築士の関与が義務付けられている建築物では、構造安全証明書の交付が不要。
②構造設計一級建築士の関与が義務付けられていない建築物では、構造安全証明書の交付が必要。"
"構造設計一級建築士の関与：建築士法20条の2第1項、2項
①大規模の修繕に係る構造設計であっても、建築物の規模や修繕の内容によっては、構造設計一級建築士の関与が義務づけられることがある。
②構造設計一級建築士の関与が義務付けられた建築物であっても、工事監理については、構造設計一級建築士の関与が義務づけられていない。
③二級建築士が設計できる用途、構造、規模の建築物については、構造設計一級建築士の関与が義務づけられていない。","構造設計一級建築士の関与：建築士法20条の2第1項、2項
①大規模の修繕に係る構造設計であっても、建築物の規模や修繕の内容によっては、構造設計一級建築士の関与が義務づけられることがある。
②構造設計一級建築士の関与が義務付けられた建築物であっても、工事監理については、構造設計一級建築士の関与が義務づけられていない。
③二級建築士が設計できる用途、構造、規模の建築物については、構造設計一級建築士の関与が義務づけられていない。"
"設備設計一級建築士の関与の対象となる建築物：建築士法20条の3第1項、2項
①階数が3以上で床面積の合計が5,000㎡を超える建築物の「設備設計」についての設備設計一級建築士の関与は義務。
②「設備設計」について設備設計一級建築士の関与が義務付けられた建築物であっても、「工事監理」についてはその関与が義務づけられていない。","設備設計一級建築士の関与の対象となる建築物：建築士法20条の3第1項、2項
①階数が3以上で床面積の合計が5,000㎡を超える建築物の「設備設計」についての設備設計一級建築士の関与は義務。
②「設備設計」について設備設計一級建築士の関与が義務付けられた建築物であっても、「工事監理」についてはその関与が義務づけられていない。"
"建築士法「免許の登録事項」と「住所等の届出事項」
①免許の登録事項（名簿に記載されて閲覧される）：士法5条1項、同法規則3条
・登録番号、登録年月日、氏名、処分歴、定期講習の受講歴等
②住所等の届出事項（個人情報ですから閲覧はされない）：士法5条の2第1項、同法規則8条
・本籍、住所、氏名、生年月日、性別、
　建築に関する業務に従事する者にあっては、その業務の種別並びに勤務先の名称及び所在地等","建築士法「免許の登録事項」と「住所等の届出事項」
①免許の登録事項（名簿に記載されて閲覧される）：士法5条1項、同法規則3条
・登録番号、登録年月日、氏名、処分歴、定期講習の受講歴等
②住所等の届出事項（個人情報ですから閲覧はされない）：士法5条の2第1項、同法規則8条
・本籍、住所、氏名、生年月日、性別、
　建築に関する業務に従事する者にあっては、その業務の種別並びに勤務先の名称及び所在地等"
【028建築士法】,【028建築士法】
■建築士事務所,■建築士事務所
"■建築士法「管理建築士になるための要件」※整理する。書籍との整合させる。
（管理建築士講習の受講資格要件）（士法24条2項）
3年以上の設計等の業務（規則20条の4により、設計、工事監理、契約事務、工事指導監督、調査鑑定、手続代理の6業務）に従事することが必要","■建築士法「管理建築士になるための要件」※整理する。書籍との整合させる。
（管理建築士講習の受講資格要件）（士法24条2項）
〇「建築士として」
×「一級建築士として」
3年以上の設計等の業務（規則20条の4により、設計、工事監理、契約事務、工事指導監督、調査鑑定、手続代理の6業務）に従事することが必要"
■建築士事務所協会・建築士事務所協会連合会,■建築士事務所協会・建築士事務所協会連合会
"■建築士法「請求の有無と免許証等の提示」※整理する。書籍との整合させる。
① 建築士は、設計等の委託者から請求があったときは、免許証等を提示しなければならない。
（士法19条の2）
② 管理建築士等は、重要事項説明をするときは、建築主に対し、（請求の有無にかかわらず必ず）免許証等を提示しなければならない。
（士法24条の7第2項）","■建築士法「請求の有無と免許証等の提示」※整理する。書籍との整合させる。
① 建築士は、設計等の委託者から請求があったときは、免許証等を提示しなければならない。
（士法19条の2）
② 管理建築士等は、重要事項説明をするときは、建築主に対し、（請求の有無にかかわらず必ず）免許証等を提示しなければならない。
（士法24条の7第2項）"
"■建築士法「帳簿、図書、書類の保存期間」※整理する。書籍との整合させる。
①帳簿（報酬の額、業務に従事した建築士の氏名等）
→ 15年間（士法24条の4、規則21条1項、3項）
②図書（設計図書、工事監理報告書等）
→ 15年間（士法24条の4、規則21条4項、5項）
③書類（業務の実績、所属建築士の氏名等）
→ 3年間（士法24条の6、規則22条の2第5項）","■建築士法「帳簿、図書、書類の保存期間」※整理する。書籍との整合させる。
①帳簿（報酬の額、業務に従事した建築士の氏名等）
→ 15年間（士法24条の4、規則21条1項、3項）
②図書（設計図書、工事監理報告書等）
→ 15年間（士法24条の4、規則21条4項、5項）
③書類（業務の実績、所属建築士の氏名等）
→ 3年間（士法24条の6、規則22条の2第5項）"
