【001請負契約】,,【001請負契約】,
■押出成形セメント板（ECP）,,■押出成形セメント板（ECP）,
"・パネルの取り付け方
①縦○○工法
②横○○工法",,"・パネルの取り付け方
①縦張り工法
②横張り工法",
"・パネルの取り付け方のポイント
Zクリップは電○○亜鉛めっき処理のもの。高湿度環境では溶○○亜鉛めっき。
Zクリップの下地鋼材への掛かり代：○○mm以上
Zクリップは、下地鋼材に長さ○○mm以上溶接する。",,"・パネルの取り付け方のポイント
Zクリップは電気亜鉛めっき処理のもの。高湿度環境では溶融亜鉛めっき。
Zクリップの下地鋼材への掛かり代：30mm以上
Zクリップは、下地鋼材に長さ15mm以上溶接する。",
"・パネルの加工、切断、孔あけのポイント
加工後のパネル幅の最小限度：○○mm。
欠き込みを行う場合は、パネル幅の1/○○以下かつ○○mm以下。切断後のパネル残部幅○○mm以上（孔あけの場合は○○mm以上）",,"・パネルの加工、切断、孔あけのポイント
加工後のパネル幅の最小限度：300mm。
欠き込みを行う場合は、パネル幅の1/2以下かつ300mm以下。切断後のパネル残部幅300mm以上（孔あけの場合は150mm以上）",
"・各部納まりのポイント
パネル相互の目地幅：長辺○○mm以上、短辺○○mm以上。パネル幅900mmを超える場合は長辺、短辺ともに○○mm以上。
2次的な漏水対策として室内側にガ○○ト、パネル最下部に水○○プを設置する構法もある。",,"・各部納まりのポイント
パネル相互の目地幅：長辺10mm以上、短辺15mm以上。パネル幅900mmを超える場合は長辺、短辺ともに15mm以上。
2次的な漏水対策として室内側にガスケット、パネル最下部に水抜きパイプを設置する構法もある。",
■ALCパネル工事,,■ALCパネル工事,
"・パネルの取り付け方
①縦壁（ロッキング構法）
②横壁（横壁アンカー構法）",,"・パネルの取り付け方
①縦壁（ロッキング構法）
②横壁（横壁アンカー構法）",
"・①ロッキング構法のポイント
上部、下部の中心に○○か所ずつ、計○○点でピン支持する。
パネル重量は、パネル中央の受○○プレートで支持する。
横目地幅は、○○～○○mm
外壁下部等のコンクリートと面する所には、Rス○○サーを設置する。",,"・①ロッキング構法のポイント
上部、下部の中心に1か所ずつ、計2点でピン支持する。
パネル重量は、パネル中央の受けプレートで支持する。
横目地幅は、10～20mm
外壁下部等のコンクリートと面する所には、Rスペーサーを設置する。",
"・②横壁アンカー構法のポイント
イ○○プレートで左右の中央に○○か所ずつ、計○○点でピン支持する。
○○段以下毎に、下部○○か所に自重受けプレートで支持する。",,"・②横壁アンカー構法のポイント
イナズマプレートで左右の中央に1か所ずつ、計2点でピン支持する。
5段以下毎に、下部2か所に自重受けプレートで支持する。",
■ALC間仕切りパネル構法,,■ALC間仕切りパネル構法,
・ロッキング構法の場合は、上記と同様。,,・ロッキング構法の場合は、上記と同様。,
"・縦壁フットプレート構法のポイント
パネル上部の取り付け部は、間仕切りチャンネル等で引っ掛ける。掛代は○○～○○mmかつ、○○～○○mmクリアランスを設ける
パネル相互には接着剤を用いる場合がある。シリカ系、セメント系、アクリル系。
上部で、デッキプレートの溝と平行になる場合は、@1○○で平鋼をアンカーなどで取り付けておく。",,"・縦壁フットプレート構法のポイント
パネル上部の取り付け部は、間仕切りチャンネル等で引っ掛ける。掛代は10～20mmかつ、10～20mmクリアランスを設ける
パネル相互には接着剤を用いる場合がある。シリカ系、セメント系、アクリル系。
上部で、デッキプレートの溝と平行になる場合は、@1200で平鋼をアンカーなどで取り付けておく。",
■ALCの屋根および床パネル構法,,■ALCの屋根および床パネル構法,
"・敷設筋構法のポイント
短辺は目地を○○mm程度設けて、ス○○プレートが入るようにする。
長辺の上部に設けた溝に鉄筋をはめる。スラブプレートの穴を通して、固定。
屋根、スラブの端部で、目地鉄筋で固定ができない場所では、ボ○○と座○○で固定。",,"・敷設筋構法のポイント
短辺は目地を20mm程度設けて、スラブプレートが入るようにする。
長辺の上部に設けた溝に鉄筋をはめる。スラブプレートの穴を通して、固定。
屋根、スラブの端部で、目地鉄筋で固定ができない場所では、ボルトと座金で固定。",
"■ALCのパネル切断と溝堀り、孔あけのポイント
原則行わない。
行う場合は、主筋を切断しない範囲かつ、強度上問題ない範囲。
外壁、間仕切壁への、孔あけは、直径がパネル幅の1/○○以下。
床パネルへの孔あけは、直径○○mm以下。1枚あたり○○か所。
使用上支障ない程度の欠けパネルは監理者と協議の上、所定の補修モルタルで補修。（支障ある場合は廃棄）
開口補強は必要。
パネル間のシーリングは、ワーキングジョイントなので、○○面接着。
耐火、防火上で必要な場合は、伸縮目地を構成するパネル相互の接合部には所定の耐火目地を挿入する（モルタルは充填しない）",,"■ALCのパネル切断と溝堀り、孔あけのポイント
原則行わない。
行う場合は、主筋を切断しない範囲かつ、強度上問題ない範囲。
外壁、間仕切壁への、孔あけは、直径がパネル幅の1/6以下。
床パネルへの孔あけは、直径50mm以下。1枚あたり1か所。
使用上支障ない程度の欠けパネルは監理者と協議の上、所定の補修モルタルで補修。（支障ある場合は廃棄）
開口補強は必要。
パネル間のシーリングは、ワーキングジョイントなので、二面接着。
耐火、防火上で必要な場合は、伸縮目地を構成するパネル相互の接合部には所定の耐火目地を挿入する（モルタルは充填しない）",
■カーテンウォール工事,,■カーテンウォール工事,
"・構法の種類
スパンドレル方式
マリオン方式
パネル方式
パネル組合せ方式
柱・梁カバー方式",,"・構法の種類
スパンドレル方式
マリオン方式
パネル方式
パネル組合せ方式
柱・梁カバー方式",
PCカーテンウォールの開口部にY型構造ガスケット（ガラス固定用）を使用する場合は、コンクリート端面から溝中心までの寸法：○○mm以上。,,PCカーテンウォールの開口部にY型構造ガスケット（ガラス固定用）を使用する場合は、コンクリート端面から溝中心までの寸法：60mm以上。,
